AdmArea,District,global_id,ID,Line,Station,Status
Восточный административный округ,район Соколиная Гора,58702210,259,Некрасовская линия,Электрозаводская,действует
Западный административный округ,район Раменки,58702211,225,Солнцевская линия,Раменки,действует
Центральный административный округ,район Арбат,58702212,50,Арбатско-Покровская линия,Смоленская,действует
Центральный административный округ,Пресненский район,58702213,118,Таганско-Краснопресненская линия,Баррикадная,действует
Западный административный округ,район Филёвский Парк,58702214,64,Филёвская линия,Багратионовская,действует
Северо-Восточный административный округ,Бабушкинский район,58702215,87,Калужско-Рижская линия,Бабушкинская,действует
Центральный административный округ,район Хамовники,58702216,12,Сокольническая линия,Кропоткинская,действует
Центральный административный округ,Мещанский район,58702217,93,Калужско-Рижская линия,Проспект Мира,действует
Центральный административный округ,Красносельский район,58702218,94,Калужско-Рижская линия,Сухаревская,действует
Северо-Восточный административный округ,Бутырский район,58702219,192,Московская монорельсовая транспортная система,Тимирязевская,действует
Центральный административный округ,Красносельский район,58702220,7,Сокольническая линия,Красные ворота,действует
Юго-Восточный административный округ,район Печатники,58702221,171,Люблинско-Дмитровская линия,Печатники,действует
Северо-Восточный административный округ,район Марьина Роща,58702222,262,Большая кольцевая линия,Шереметьевская,строится
Юго-Восточный административный округ,Рязанский район,58702223,127,Таганско-Краснопресненская линия,Рязанский проспект,действует
Центральный административный округ,Таганский район,58702224,167,Люблинско-Дмитровская линия,Римская,действует
Центральный административный округ,Тверской район,58702225,71,Филёвская линия,Александровский сад,действует
Южный административный округ,Донской район,58702226,100,Калужско-Рижская линия,Ленинский проспект,действует
Центральный административный округ,Тверской район,58702227,147,Серпуховско-Тимирязевская линия,Чеховская,действует
Юго-Восточный административный округ,район Печатники,58702228,254,Большая кольцевая линия,Печатники,строится
Восточный административный округ,район Гольяново,58702229,40,Арбатско-Покровская линия,Щёлковская,действует
Северный административный округ,район Ховрино,58702230,199,Замоскворецкая линия,Ховрино,действует
Центральный административный округ,Пресненский район,277904735,284,Московское центральное кольцо,Шелепиха,действует
Юго-Западный административный округ,Гагаринский район,277904736,288,Московское центральное кольцо,Площадь Гагарина,действует
Северный административный округ,район Коптево,277904737,280,Московское центральное кольцо,Лихоборы,действует
Южный административный округ,Даниловский район,277904738,292,Московское центральное кольцо,Автозаводская,действует
Восточный административный округ,район Соколиная Гора,277904739,271,Московское центральное кольцо,Шоссе Энтузиастов,действует
Северный административный округ,Хорошёвский район,277904740,283,Московское центральное кольцо,Хорошёво,действует
Восточный административный округ,район Соколиная Гора,277904741,296,Московское центральное кольцо,Соколиная Гора,действует
Восточный административный округ,район Преображенское,277904742,273,Московское центральное кольцо,Локомотив,действует
Западный административный округ,район Дорогомилово,277904743,286,Московское центральное кольцо,Кутузовская,действует
Северный административный округ,Войковский район,277904744,281,Московское центральное кольцо,Балтийская,действует
Северо-Восточный административный округ,район Марфино,277904745,278,Московское центральное кольцо,Владыкино,действует
Юго-Восточный административный округ,район Печатники,277904746,293,Московское центральное кольцо,Угрешская,действует
Северо-Восточный административный округ,район Свиблово,277904747,277,Московское центральное кольцо,Ботанический сад,действует
Восточный административный округ,район Перово,277904748,270,Московское центральное кольцо,Андроновка,действует
Юго-Восточный административный округ,Южнопортовый район,277904749,297,Московское центральное кольцо,Дубровка,действует
Восточный административный округ,район Соколиная Гора,277904750,272,Московское центральное кольцо,Измайлово,действует
Центральный административный округ,район Хамовники,277904751,287,Московское центральное кольцо,Лужники,действует
Юго-Восточный административный округ,Нижегородский район,277904752,295,Московское центральное кольцо,Нижегородская,действует
Юго-Восточный административный округ,Нижегородский район,277904753,294,Московское центральное кольцо,Новохохловская,действует
Южный административный округ,Даниловский район,277904754,291,Московское центральное кольцо,ЗИЛ,действует
Южный административный округ,Нагорный район,277904755,290,Московское центральное кольцо,Верхние Котлы,действует
Восточный административный округ,район Богородское,277904756,275,Московское центральное кольцо,Белокаменная,действует
Северо-Восточный административный округ,район Ростокино,277904757,276,Московское центральное кольцо,Ростокино,действует
Центральный административный округ,Пресненский район,277904758,285,Московское центральное кольцо,Деловой центр,действует
Восточный административный округ,район Богородское,277904759,274,Московское центральное кольцо,Бульвар Рокоссовского,действует
Северный административный округ,район Сокол,277904760,282,Московское центральное кольцо,Стрешнево,действует
Южный административный округ,Донской район,277904761,289,Московское центральное кольцо,Крымская,действует
Северный административный округ,Тимирязевский район,277904762,279,Московское центральное кольцо,Окружная,действует
Северный административный округ,район Аэропорт,696737361,298,Большая кольцевая линия,Петровский парк,действует
Северный административный округ,Хорошёвский район,696742167,299,Большая кольцевая линия,ЦСКА,действует
Центральный административный округ,Пресненский район,696749112,300,Большая кольцевая линия,Шелепиха,действует
Западный административный округ,район Очаково-Матвеевское,886123736,301,Солнцевская линия,Озёрная,действует
Западный административный округ,район Солнцево,886123738,302,Солнцевская линия,Говорово,действует
Северный административный округ,район Левобережный,904474367,303,Замоскворецкая линия,Беломорская,действует
Северо-Западный административный округ,район Хорошёво-Мнёвники,905932318,304,Московское центральное кольцо,Зорге,действует
Северо-Западный административный округ,район Щукино,905932372,305,Московское центральное кольцо,Панфиловская,действует
Северный административный округ,район Коптево,905932373,306,Московское центральное кольцо,Коптево,действует
Северный административный округ,Савёловский район,906044097,307,Большая кольцевая линия,Савеловская,действует
Новомосковский административный округ,поселение Сосенское,930063626,308,Сокольническая линия,Филатов луг,действует
Новомосковский административный округ,поселение Сосенское,930063627,309,Сокольническая линия,Прокшино,действует
Новомосковский административный округ,поселение Сосенское,930063628,310,Сокольническая линия,Ольховая,действует
Новомосковский административный округ,поселение Сосенское,930063629,311,Сокольническая линия,Коммунарка,действует
Восточный административный округ,район Сокольники,1045820891,314,Большая кольцевая линия,Стромынка,строится
Юго-Восточный административный округ,район Лефортово,1045820903,315,Некрасовская линия,Лефортово,действует
Юго-Западный административный округ,район Зюзино,1045820911,312,Большая кольцевая линия,Зюзино,строится
Северо-Западный административный округ,район Хорошёво-Мнёвники,1103704696,316,Большая кольцевая линия,Народное Ополчение,действует
Северо-Западный административный округ,район Хорошёво-Мнёвники,1103706188,317,Большая кольцевая линия,Мнёвники,действует
